baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	TAIR	SYMBOL	GENENAME
158.793038570787	-1.17919366081855	0.314891724250686	-3.74475913466623	0.000180566922659352	0.0259128336137263	AT1G06180	ATMYB13; ATMYBLFGN; MYB13	member of MYB3R- and R2R3- type MYB- encoding genes
1069.8719949725	1.04650165006307	0.27956701200299	3.74329447013542	0.00018162317061945	0.0259128336137263	AT5G04370	NAMT1	A member of the Arabidopsis SABATH methyltransferase gene family.  Encodes NAMT1, a methyltransferase that methylates nicotinic acid.
674.097030057685	-1.1873332596431	0.317759987925574	-3.73657258547355	0.000186545616568344	0.0262505458383331	AT2G32560	NA	NA
9781.68126534703	-1.10325288077999	0.296130038530605	-3.72556896373742	0.000194875163090553	0.0272361239843225	AT4G17340	DELTA-TIP2; TIP2;2	NA
983.492760577306	-1.09600758300743	0.294704163293993	-3.71900950009339	0.000200005530354756	0.0275779437660299	AT5G57480	NA	NA
469.344151437961	1.63267619578967	0.438968707721004	3.71934529061546	0.000199739845391853	0.0275779437660299	AT5G07985	NA	NA
165.17102152646	1.4735045454021	0.397077018829048	3.71087843297342	0.000206541279810792	0.0282892706247515	AT1G52890	ANAC019; ANAC19; NAC019	encodes a NAC transcription factor whose expression is induced by drought, high salt, and abscisic acid. This gene binds to ERD1 promoter in vitro.
379.410421036609	-1.32498070067296	0.357692879955727	-3.70424119383355	0.000212024450473951	0.0284708649345577	AT4G35060	AtHMP39; HIPP25	NA
214.615517761757	-1.23044033768659	0.332644778517514	-3.69896182699831	0.00021648315375327	0.0288808207393567	AT4G17670	NA	NA
108.205904460592	2.03926122876378	0.555477101142857	3.67118864948373	0.00024142505443646	0.031392897110108	AT1G11925	NA	Encodes a Stigma-specific Stig1 family protein
111.168788464155	-1.33443462092489	0.364709759871042	-3.65889473700054	0.000253305349275194	0.0325260123869707	AT5G13910	LEP	Encodes a member of the ERF (ethylene response factor) subfamily B-1 of ERF/AP2 transcription factor family (LEAFY PETIOLE). The protein contains one AP2 domain. There are 15 members in this subfamily including ATERF-3, ATERF-4, ATERF-7, and LEAFY PETIOLE.  Acts as a positive regulator of gibberellic acid-induced germination.
64.578207410106	-1.24877244600657	0.343064720157931	-3.64004915874675	0.000272585994823605	0.0347843432524905	AT1G44050	NA	NA
1621.75344719271	-1.44488263368016	0.397313236203722	-3.63663352242133	0.000276224488707716	0.0350310624722224	AT5G42590	CYP71A16; MRO	putative cytochrome P450
2479.71572448994	1.52585937558067	0.421385977283204	3.62104924662735	0.000293410652142279	0.0365340718076553	AT5G22690	NA	NA
131.981554539169	-1.17505068535868	0.325514989510858	-3.60982050972336	0.000306408956961374	0.0374712620284013	AT5G51500	PMEI-PME60	NA
54.8319305427967	-2.51565847516007	0.697920290279294	-3.60450686159784	0.000312746186923338	0.0380199432564495	AT4G08040	ACS11	encodes an aminotransferase that belongs to ACC synthase gene family structurally
8207.0942530344	1.45248411028131	0.403313761459337	3.6013750312553	0.000316538570368238	0.0382546172247967	AT5G01040	LAC8	putative laccase, knockout mutant showed early flowering
53.7578683862037	-1.78488937208167	0.496686927806429	-3.59359039297545	0.000326152427299774	0.0391859743793793	AT1G18860	ATWRKY61; WRKY61	member of WRKY Transcription Factor; Group II-b
1749.69855546864	1.87865812025226	0.523708174262113	3.58722321433922	0.000334218203596401	0.0399215871679538	AT5G14700	NA	NA
501.077857340851	-1.21117622460744	0.338145612846505	-3.58181853791262	0.000341210772329129	0.0405212446098379	AT5G09978	PEP7	NA
92.3009629939385	2.01801920633086	0.564923147620876	3.57220130707968	0.000353993127996172	0.0415587932267506	AT3G21320	NA	NA
138.635132214708	1.6839930189871	0.473663664717968	3.55525058057767	0.000377619023722969	0.0431010157910466	AT5G22540	NA	NA
10.2397516459755	5.69629670436994	1.6021378461929	3.55543483221861	0.000377354472339212	0.0431010157910466	AT3G59620	NA	NA
5686.47874533643	1.63975511113845	0.461420313162819	3.55371244906559	0.000379834270988455	0.0431143375550155	AT3G48520	CYP94B3	member of CYP94B
72.7326639168192	1.38928413584717	0.391842706648654	3.5455148514296	0.000391846905991008	0.0439917742272419	AT1G65500	STMP6	NA
51.2886907751208	-1.72008297926752	0.488539733279614	-3.52086608743252	0.000430139783559108	0.0453719966870977	AT1G66930	LRK10L2	NA
700.1926410938	2.29700145851768	0.653310575605544	3.51594103063252	0.000438198299655099	0.0453719966870977	AT1G09930	ATOPT2; OPT2	oligopeptide transporter
46.9009478573856	-1.343442975401	0.381702103175094	-3.51961114236967	0.000432179919652288	0.0453719966870977	AT5G57540	AtXTH13; XTH13	Encodes a xyloglucan endotransglucosylase/hydrolase with only only the endotransglucosylase (XET; EC   2.4.1.207) activity towards xyloglucan and non-detectable endohydrolytic (XEH; EC 3.2.1.151) activity.
